slot_utc,generated_utc,game_id,team_a,team_a_dice,team_a_hand,team_b,team_b_dice,team_b_hand,winner,drand_round,drand_randomness
2026-08-30T02:00:00Z,2026-08-30T02:00:12.291025Z,2026-08-30-tor-phx,Toronto Tempo,4-3-1-2-2,One pair,Phoenix Mercury,3-4-6-3-1,One pair,Phoenix Mercury,6420806,616f3deb6a1942a99b375178227df413037f450b7757f42a22f17962063fbff0
2026-08-30T02:05:00Z,2026-08-30T02:05:05.374965Z,2026-08-30-tor-phx,Toronto Tempo,3-5-5-4-6,One pair,Phoenix Mercury,1-6-5-3-2,High dice,Toronto Tempo,6420816,ceb8cc9e88acaf7c49d3ce333c8fbbf774f009561d8a54faa0207b4b7349cd9e
2026-08-30T02:10:00Z,2026-08-30T02:10:05.359142Z,2026-08-30-tor-phx,Toronto Tempo,5-4-6-2-1,High dice,Phoenix Mercury,1-3-5-2-1,One pair,Phoenix Mercury,6420826,1e1ce71520c51065f68315c1192339531cf94aa517242f91724b85c7a1ca91dd
2026-08-30T02:15:00Z,2026-08-30T02:15:05.381957Z,2026-08-30-tor-phx,Toronto Tempo,1-4-4-4-4,Four of a kind,Phoenix Mercury,3-4-2-4-3,Two pair,Toronto Tempo,6420836,f889515caababc3c361bfad697827e103188859befda63b63657de23c803f6e5
2026-08-30T02:20:00Z,2026-08-30T02:20:05.435876Z,2026-08-30-tor-phx,Toronto Tempo,1-5-5-3-5,Three of a kind,Phoenix Mercury,5-1-6-6-5,Two pair,Toronto Tempo,6420846,d5b452de9de4c7549cdfd79a433dc461e591f48f70c604a45b51be7dda06fd51
2026-08-30T02:25:00Z,2026-08-30T02:25:05.349297Z,2026-08-30-tor-phx,Toronto Tempo,5-3-6-3-2,One pair,Phoenix Mercury,5-4-4-2-5,Two pair,Phoenix Mercury,6420856,1dba46a147a26e80d52fc1b840ddbad3c292c20d518a1968f6569d16f15750e4
2026-08-30T02:30:00Z,2026-08-30T02:30:05.405828Z,2026-08-30-tor-phx,Toronto Tempo,4-3-3-6-5,One pair,Phoenix Mercury,5-6-5-4-4,Two pair,Phoenix Mercury,6420866,b167005fa677ffb7ee9fe88bfef5777adc803e55d31473c361bf3a7c1a39cec2
2026-08-30T02:35:00Z,2026-08-30T02:35:05.402077Z,2026-08-30-tor-phx,Toronto Tempo,5-6-6-2-2,Two pair,Phoenix Mercury,6-1-4-4-1,Two pair,Toronto Tempo,6420876,d9bb3aff065f58539ef2c9213df99c12a98f8bbaf99eb218f978156047fc28d2
2026-08-30T02:40:00Z,2026-08-30T02:40:05.391435Z,2026-08-30-tor-phx,Toronto Tempo,1-4-4-5-2,One pair,Phoenix Mercury,4-1-4-2-1,Two pair,Phoenix Mercury,6420886,181c5073e189b2f30734c96ed06ce30a9dd8d50261660900ebbd95eaa8dda2e5
2026-08-30T02:45:00Z,2026-08-30T02:45:05.408765Z,2026-08-30-tor-phx,Toronto Tempo,5-5-3-3-3,Full house,Phoenix Mercury,2-5-6-6-5,Two pair,Toronto Tempo,6420896,77b3d51fad5a379c83af0b16e18bce2d41e3f7ae468c99831fc6e1e389580f03
2026-08-30T02:50:00Z,2026-08-30T02:50:05.409368Z,2026-08-30-tor-phx,Toronto Tempo,3-1-6-2-3,One pair,Phoenix Mercury,1-3-1-1-3,Full house,Phoenix Mercury,6420906,ca5f8163573ab590f23cbc00bf2fff60e40009069a3a84fabd4c6d7d5f76fbbc
2026-08-30T02:55:00Z,2026-08-30T02:55:05.413366Z,2026-08-30-tor-phx,Toronto Tempo,6-4-1-3-4,One pair,Phoenix Mercury,1-6-2-4-5,High dice,Toronto Tempo,6420916,38d40ebbd7482778130638dcf654a51a7799ec9f4fedbd23cd00bc9d94f7299a
2026-08-30T03:00:00Z,2026-08-30T03:00:05.468691Z,2026-08-30-tor-phx,Toronto Tempo,6-5-3-2-2,One pair,Phoenix Mercury,3-2-3-1-3,Three of a kind,Phoenix Mercury,6420926,decb366ce6b28b6d1494d997e7a47c046890be64b85abbd1be62d52aa710f7c2
2026-08-30T03:05:00Z,2026-08-30T03:05:05.436017Z,2026-08-30-tor-phx,Toronto Tempo,2-3-3-5-6,One pair,Phoenix Mercury,3-4-3-6-5,One pair,Phoenix Mercury,6420936,ae624aecdd93a0d2f23ef9696748382877d15f7c73b8f34b69c167dc4facaefd
2026-08-30T03:10:00Z,2026-08-30T03:10:05.413826Z,2026-08-30-tor-phx,Toronto Tempo,6-2-6-1-5,One pair,Phoenix Mercury,5-5-2-3-5,Three of a kind,Phoenix Mercury,6420946,fc6bdd74da8c3d2a821cf8fd75da3867e012b6ac29722d1828059fc9acefaa39
