slot_utc,generated_utc,game_id,team_a,team_a_dice,team_a_hand,team_b,team_b_dice,team_b_hand,winner,drand_round,drand_randomness
2026-08-30T23:00:00Z,2026-08-30T23:00:05.392450Z,2026-08-30-gsv-por,Golden State Valkyries,4-6-5-2-1,High dice,Portland Fire,6-1-3-3-3,Three of a kind,Portland Fire,6423326,96c92bb198723f3f70580919c12e2050d5358d85a059f8cd5a3556162c2b68b6
2026-08-30T23:05:00Z,2026-08-30T23:05:05.591940Z,2026-08-30-gsv-por,Golden State Valkyries,3-5-6-1-6,One pair,Portland Fire,2-4-5-2-5,Two pair,Portland Fire,6423336,86abc0abf630e26ab7cf80f95f80db28b542602d07f19c4c7c19532e6ca45a88
2026-08-30T23:10:00Z,2026-08-30T23:10:05.466482Z,2026-08-30-gsv-por,Golden State Valkyries,2-1-6-5-3,High dice,Portland Fire,5-1-1-1-6,Three of a kind,Portland Fire,6423346,6112a4533ad5db7188d1e241b9612447280b587fa415bc72e03615b958f8c0c0
2026-08-30T23:15:00Z,2026-08-30T23:15:05.423344Z,2026-08-30-gsv-por,Golden State Valkyries,4-4-6-5-2,One pair,Portland Fire,4-5-5-6-4,Two pair,Portland Fire,6423356,5415f8fc1d8eeb37742c0f6351027c2d737ae2a0276618ae3cabd0311aba3cb2
2026-08-30T23:20:00Z,2026-08-30T23:20:05.436813Z,2026-08-30-gsv-por,Golden State Valkyries,4-6-5-4-4,Three of a kind,Portland Fire,5-4-1-6-4,One pair,Golden State Valkyries,6423366,33084aeccf69dcec74282235c4e9d5b02761afc31de075507558c14398490ba8
2026-08-30T23:25:00Z,2026-08-30T23:25:05.448365Z,2026-08-30-gsv-por,Golden State Valkyries,1-5-2-3-6,High dice,Portland Fire,1-4-2-4-4,Three of a kind,Portland Fire,6423376,32c3eb493796987cee7f7664c7e67ce51684ae20392df13fa0c365342b8a549a
2026-08-30T23:30:00Z,2026-08-30T23:30:05.450161Z,2026-08-30-gsv-por,Golden State Valkyries,5-5-3-5-6,Three of a kind,Portland Fire,4-2-5-3-5,One pair,Golden State Valkyries,6423386,5761c900abe4b8b10038e25b9c6225d1ab6ba731dabbcf3aa390033c6b4a3de4
2026-08-30T23:35:00Z,2026-08-30T23:35:05.453711Z,2026-08-30-gsv-por,Golden State Valkyries,2-6-5-4-1,High dice,Portland Fire,1-1-1-3-3,Full house,Portland Fire,6423396,636e98a240556c1820af981dd882ef5a51117bbb6233b1973ee52a573cbb760f
2026-08-30T23:40:00Z,2026-08-30T23:40:05.368373Z,2026-08-30-gsv-por,Golden State Valkyries,2-4-4-1-1,Two pair,Portland Fire,2-3-3-2-2,Full house,Portland Fire,6423406,f27c36f6b65d088af68e03ee9f12aae18e6d39b82a346bd95c214d882d6c8001
2026-08-30T23:45:00Z,2026-08-30T23:45:05.403172Z,2026-08-30-gsv-por,Golden State Valkyries,6-2-2-3-1,One pair,Portland Fire,1-5-4-6-1,One pair,Golden State Valkyries,6423416,3bdf3776311c8c620bc54d9a0e9b32779c4178fa21359fdc3a29c915538893c0
2026-08-30T23:50:00Z,2026-08-30T23:50:05.382139Z,2026-08-30-gsv-por,Golden State Valkyries,1-1-5-6-1,Three of a kind,Portland Fire,6-6-4-6-3,Three of a kind,Portland Fire,6423426,c79da3bc08d09bbd3a0b6a449622a942f1dd82657c0032c0640a936b818be97d
2026-08-30T23:55:00Z,2026-08-30T23:55:05.499797Z,2026-08-30-gsv-por,Golden State Valkyries,4-4-5-4-6,Three of a kind,Portland Fire,6-5-2-6-1,One pair,Golden State Valkyries,6423436,92e16fcf09777ace58a75ba637e91c7e19de2c35fa92432bfe955827c47b3c5b
2026-08-31T00:00:00Z,2026-08-31T00:00:05.408064Z,2026-08-30-gsv-por,Golden State Valkyries,5-3-5-3-4,Two pair,Portland Fire,5-5-1-5-4,Three of a kind,Portland Fire,6423446,a5227239f2d6b8b4306688704e34a6b3b69b1668b9d1aa69128d1f443492615a
